,Frame,Alt,Speed
348,02281,12.8,438.0
349,02287,12.8,440.0
350,02293,12.9,442.0
351,02299,12.9,443.0
352,02305,12.9,445.0
353,02311,13.0,447.0
354,02317,13.0,450.0
355,02323,13.0,452.0
356,02329,13.1,454.0
357,02335,13.3,456.0
358,02341,13.5,458.0
359,02347,13.6,460.0
360,02353,13.7,462.0
361,02359,13.8,464.0
362,02365,13.9,466.0
363,02371,13.9,468.0
364,02377,13.9,470.0
365,02383,14.0,472.0
366,02389,14.0,474.0
367,02395,14.0,476.0
368,02401,14.0,478.0
369,02407,14.3,480.0
370,02413,14.5,482.0
371,02419,14.6,485.0
372,02425,14.7,487.0
373,02431,14.8,489.0
374,02437,14.9,492.0
375,02443,14.9,494.0
376,02449,14.9,496.0
377,02455,15.0,499.0
378,02461,15.2,502.0
379,02467,15.5,504.0
380,02473,15.6,507.0
381,02479,15.8,509.0
382,02485,15.8,512.0
383,02491,15.9,515.0
384,02497,15.9,517.0
385,02503,15.9,520.0
386,02509,16.0,522.0
387,02515,16.2,525.0
388,02521,16.5,528.0
389,02527,16.6,531.0
390,02533,16.7,533.0
391,02539,16.8,536.0
392,02545,16.9,539.0
393,02551,16.9,542.0
394,02557,17.0,545.0
395,02563,17.0,548.0
396,02569,17.2,550.0
397,02575,17.5,553.0
398,02581,17.6,556.0
399,02587,17.8,559.0
400,02593,17.8,562.0
401,02599,17.9,565.0
402,02605,17.9,568.0
403,02611,18.0,571.0
404,02617,18.3,574.0
405,02623,18.5,577.0
406,02629,18.7,580.0
407,02635,18.8,583.0
408,02641,18.8,586.0
409,02647,18.9,588.0
410,02653,18.9,592.0
411,02659,19.0,595.0
412,02665,19.3,598.0
413,02671,19.5,601.0
414,02677,19.7,604.0
415,02683,19.8,607.0
416,02689,19.9,610.0
417,02695,19.9,613.0
418,02701,19.9,616.0
419,02707,20.1,619.0
420,02713,20.4,622.0
421,02719,20.6,625.0
422,02725,20.7,628.0
423,02731,20.8,632.0
424,02737,20.9,635.0
425,02743,20.9,638.0
426,02749,20.9,642.0
427,02755,21.3,645.0
428,02761,21.5,649.0
429,02767,21.7,652.0
430,02773,21.8,655.0
431,02779,21.8,658.0
432,02785,21.9,662.0
433,02791,21.9,665.0
434,02797,22.1,668.0
435,02803,22.4,672.0
436,02809,22.6,675.0
437,02815,22.7,678.0
438,02821,22.8,682.0
439,02827,22.9,685.0
440,02833,22.9,688.0
441,02839,23.1,692.0
442,02845,23.4,695.0
443,02851,23.6,699.0
444,02857,23.7,702.0
445,02863,23.8,706.0
446,02869,23.9,709.0
447,02875,23.9,712.0
448,02881,24.1,716.0
449,02887,24.4,719.0
450,02893,24.6,723.0
451,02899,24.7,726.0
452,02905,24.8,730.0
453,02911,24.9,734.0
454,02917,25.0,738.0
455,02923,25.3,742.0
456,02929,25.5,745.0
457,02935,25.7,749.0
458,02941,25.8,753.0
459,02947,25.8,757.0
460,02953,25.9,760.0
461,02959,26.1,764.0
462,02965,26.4,768.0
463,02971,26.6,772.0
464,02977,26.7,775.0
465,02983,26.8,779.0
466,02989,26.9,783.0
467,02995,26.9,786.0
468,03001,27.2,790.0
469,03007,27.5,794.0
470,03013,27.6,798.0
471,03019,27.8,802.0
472,03025,27.8,806.0
473,03031,28.0,810.0
474,03037,28.3,814.0
475,03043,28.5,818.0
476,03049,28.7,822.0
477,03055,28.8,826.0
478,03061,28.8,830.0
479,03067,29.0,834.0
480,03073,29.3,838.0
481,03079,29.5,843.0
482,03085,29.7,847.0
483,03091,29.8,850.0
484,03097,29.8,854.0
485,03103,30.1,859.0
486,03109,30.4,863.0
487,03115,30.6,867.0
488,03121,30.7,871.0
489,03127,30.8,875.0
490,03133,30.9,879.0
491,03139,31.0,883.0
492,03145,31.4,887.0
493,03151,31.6,892.0
494,03157,31.7,896.0
495,03163,31.8,900.0
496,03169,32.0,904.0
497,03175,32.3,909.0
498,03181,32.5,913.0
499,03187,32.7,917.0
500,03193,32.8,922.0
501,03199,32.9,927.0
502,03205,33.2,931.0
503,03211,33.4,935.0
504,03217,33.6,940.0
505,03223,33.7,944.0
506,03229,33.8,949.0
507,03235,34.1,953.0
508,03241,34.4,957.0
509,03247,34.6,962.0
510,03253,34.7,967.0
511,03259,34.8,972.0
512,03265,35.1,976.0
513,03271,35.4,981.0
514,03277,35.6,985.0
515,03283,35.7,989.0
516,03289,35.8,994.0
517,03295,36.1,998.0
518,03301,36.4,1003.0
519,03307,36.6,1008.0
520,03313,36.7,1012.0
521,03319,36.8,1017.0
522,03325,37.0,1022.0
523,03331,37.3,1027.0
524,03337,37.6,1032.0
525,03343,37.7,1036.0
526,03349,37.8,1041.0
527,03355,38.2,1046.0
528,03361,38.5,1052.0
529,03367,38.6,1056.0
530,03373,38.8,1061.0
531,03379,38.8,1066.0
532,03385,39.2,1070.0
533,03391,39.4,1075.0
534,03397,39.6,1079.0
535,03403,39.7,1083.0
536,03409,40.0,1088.0
537,03415,40.3,1093.0
538,03421,40.6,1098.0
539,03427,40.7,1104.0
540,03433,40.8,1108.0
541,03439,41.1,1113.0
542,03445,41.4,1119.0
543,03451,41.6,1124.0
544,03457,41.7,1129.0
545,03463,41.9,1134.0
546,03469,42.2,1140.0
547,03475,42.5,1145.0
548,03481,42.7,1151.0
549,03487,42.8,1156.0
550,03493,43.2,1161.0
551,03499,43.5,1166.0
552,03505,43.6,1171.0
553,03511,43.7,1177.0
554,03517,44.1,1182.0
555,03523,44.4,1187.0
556,03529,44.6,1192.0
557,03535,44.7,1197.0
558,03541,45.0,1203.0
559,03547,45.3,1208.0
560,03553,45.5,1213.0
561,03559,45.7,1218.0
562,03565,45.9,1224.0
563,03571,46.3,1231.0
564,03577,46.5,1236.0
565,03583,46.7,1241.0
566,03589,47.0,1246.0
567,03595,47.3,1252.0
568,03601,47.5,1257.0
569,03607,47.7,1263.0
570,03613,47.9,1269.0
571,03619,48.2,1274.0
572,03625,48.5,1281.0
573,03631,48.7,1286.0
574,03637,49.0,1292.0
575,03643,49.3,1298.0
576,03649,49.5,1303.0
577,03655,49.7,1309.0
578,03661,50.1,1315.0
579,03667,50.4,1320.0
580,03673,50.6,1326.0
581,03679,50.8,1332.0
582,03685,51.2,1338.0
583,03691,51.4,1343.0
584,03697,51.6,1349.0
585,03703,51.8,1354.0
586,03709,52.2,1360.0
587,03715,52.4,1366.0
588,03721,52.6,1372.0
589,03727,52.8,1378.0
590,03733,53.2,1384.0
591,03739,53.4,1390.0
592,03745,53.6,1396.0
593,03751,54.0,1402.0
594,03757,54.3,1408.0
595,03763,54.5,1414.0
596,03769,54.8,1420.0
597,03775,55.1,1426.0
598,03781,55.4,1433.0
599,03787,55.6,1439.0
600,03793,55.7,1444.0
601,03799,56.0,1449.0
602,03805,56.3,1456.0
603,03811,56.5,1462.0
604,03817,57.0,1469.0
605,03823,57.3,1475.0
606,03829,57.5,1481.0
607,03835,57.7,1485.0
608,03841,58.2,1493.0
609,03847,58.4,1500.0
610,03853,58.7,1507.0
611,03859,59.1,1513.0
612,03865,59.4,1520.0
613,03871,59.6,1527.0
614,03877,60.0,1534.0
615,03883,60.3,1540.0
616,03889,60.5,1547.0
617,03895,60.9,1554.0
618,03901,61.2,1560.0
619,03907,61.5,1566.0
620,03913,61.7,1573.0
621,03919,62.1,1579.0
622,03925,62.4,1583.0
623,03931,62.6,1591.0
624,03937,62.7,1596.0
625,03943,63.0,1602.0
626,03949,63.3,1610.0
627,03955,63.7,1617.0
628,03961,64.1,1624.0
629,03967,64.4,1630.0
630,03973,64.6,1637.0
631,03979,65.1,1644.0
632,03985,65.4,1650.0
633,03991,65.6,1656.0
634,03997,66.0,1663.0
635,04003,66.3,1669.0
636,04009,66.5,1674.0
637,04015,67.0,1679.0
638,04021,67.3,1682.0
639,04027,67.5,1684.0
640,04033,68.0,1685.0
641,04039,68.3,1685.0
642,04045,68.5,1685.0
